ObjectID,Category,Era,Set,Country of Origin,Attachment Feature,Firearm Action,Firearm Feed Option,Firing Modes,Firearm Mounts,Attachment Mount,Round Power,Size,Melee Handedness,Melee Style,Powerup Type,Thrown Damage Type,Thrown Type
BulbBlue,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
BulbGreen,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
BulbOrange,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
BulbPink,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
BulbPurple,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
BulbRed,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
BulbWhite,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
BulbYellow,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
GrenadeOrnamentA,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
GrenadeOrnamentB,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
GrenadeOrnamentC,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
HorseshoeOrnamentA,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
HorseshoeOrnamentB,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
HorseshoeOrnamentC,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
KeycardGreen,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
KeycardRed,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
KeycardWhite,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
PeppermintGreen,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
PeppermintRed,Ornament,Modern,Holiday,None,None,None,,,,None,None,None,None,None,Health,None,None
ww_eSlab_MFMM_Disc1,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
ww_eSlab_MFMM_Disc2,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
ww_eSlab_MFMM_Disc3,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
ww_eSlab_MFMM_Disc4,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
ww_eSlab_MFMM_Disc5,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
ww_eSlab_MFMM_Disc6,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
Key_A,Uncategorized,Modern,Real,None,None,None,,,,None,None,None,None,None,None,None,None
Key_B,Uncategorized,Modern,Real,None,None,None,,,,None,None,None,None,None,None,None,None
Key_C,Uncategorized,Modern,Real,None,None,None,,,,None,None,None,None,None,None,None,None
Key_D,Uncategorized,Modern,Real,None,None,None,,,,None,None,None,None,None,None,None,None
Key_E,Uncategorized,Modern,Real,None,None,None,,,,None,None,None,None,None,None,None,None
GPTestingCube,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,None,None,None
wwTarget_BeerBottle,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_CactusLarge,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_CactusSmall,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_ClayFlowerPot,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_Coffin,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_CommerativePlate,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_Decanter,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_Gravestone_Cross,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_Gravestone_Round,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_Gravestone_Square,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_HotchBottle,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_TNTBox,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTarget_WagonWheel,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetExplosive_Barrel,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_Apple,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_Banana,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_Cabbage,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_Carrot,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChickenCooked,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChickenRaw,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChickenWing1,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChickenWing2,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChocolateA,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChocolateB,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChocolateC,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChocolateD,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChocolateE,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChocolateF,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
wwTargetFood_ChocolateG,Uncategorized,None,Real,None,None,None,,,,None,None,None,None,None,Health,None,None
